Name,CollegeID,StateID,FundingModel,AverageStateIncome,MedianFamilyIncome
Auburn University,Auburn,AL,Public,62212,143000,
University of Alaska,Alaska,AK,Public,88121,79900,
University of Arizona,Arizona,AZ,Public,77315,104500,
University of Arkansas,Arkansas,AR,Public,58700,116300,
Stanford University,Stanford,CA,Private,95521,167500,
University of Colorado Colorado Springs,Colorado,CO,Public,92911,133700,
Yale University,Yale,CT,Private,91665,192600,
University of Delaware,Delaware,DE,Public,82174,147300,
University of Florida,Florida,FL,Public,73311,106700,
Emory University,Emory,GA,Private,74632,139800,
University of Hawaii at Manoa,Hawaii,HI,Public,95322,68100,
University of Idaho,Idaho,ID,Public,74942,94200,
Northwestern University,Nwestern,IL,Private,80306,171200,
University of Notre Dame,Notre Dame,IN,Private,69477,191400,
University of Iowa,Iowa,IO,Public,71433,128000,
University of Kansas,Kansas,KA,Public,70333,125500,
University of Kentucky,Kentucky,KY,Public,61118,111900,
Tulane University of Louisiana,Tulane,LA,Private,58229,180700,
University of Maine,Maine,ME,Public,73733,73100,
Johns Hopkins University,JHopkins,MD,Private,98678,177300,
Massachusetts Institute of Technology,MIT,MA,Private,99858,137400,
University of Michigan-Ann Arbor,Ann Arbor,MI,Public,69183,154000,
University of Minnesota-Twin Cities,MinnesotaTC,MN,Public,85086,110100,
University of Mississippi,Mississippi,MS,Public,54203,116600,
Washington University in St Louis,WashU,MO,Private,68545,272000,
Montana State University,Montana,MT,Public,70804,95600,
Creighton University,Creighton,NE,Private,74590,138700,
University of Nevada-Reno,NevadaReno,NV,Public,76364,103000,
Dartmouth College,Dartmouth,NH,Private,96838,200400,
Princeton University,Princeton,NJ,Private,99781,186100,
University of New Mexico-Main Campus,New Mexico,NM,Public,62268,67200,
Cornell University,Cornell,NY,Private,82095,151600,
Duke University,Duke,NC,Private,70804,186700,
North Dakota State University-Main Campus,NDakota,ND,Public,76525,100000,
Ohio State University-Main Campus,Ohio,OH,Public,67769,104100,
University of Oklahoma-Norman Campus,Oklahoma,OK,Public,62138,113900,
University of Oregon,Oregon,OR,Public,80160,126400,
University of Pennsylvania,UPenn,PA,Private,73824,195500,
Brown University,Brown,RI,Private,84972,204200,
Clemson University,Clemson,SC,Public,67804,95500,
South Dakota State University,SDakota,SD,Public,71810,80500,
Vanderbilt University,Vanderbilt,TN,Private,67631,204500,
Rice University,Rice,TX,Private,75780,160800,
Brigham Young University-Provo,BYU,UT,Private,93421,125400,
University of Vermont,Vermont,VT,Public,81211,121500,
University of Virginia-Main Campus,Virginia,VA,Public,89931,155500,
University of Washington-Seattle Campus,WashSeattle,WA,Public,94605,113000,
West Virginia University,WVirginia,WV,Public,55948,89100,
University of Wisconsin-Madison,WMadison,WI,Public,74631,95700,
University of Wyoming,Wyoming,WY,Public,72415,106400,
